Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
zlib 1.3.1 -1,164.57,614.36,8305920,1513022,18.22,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/2
zlib 1.3.1 -3,118.83,669.88,8305920,1487729,17.91,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/2
zlib 1.3.1 -5,71.03,454.06,8305920,1439871,17.34,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/2
zlib 1.3.1 -7,26.19,457.44,8305920,1431499,17.23,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/2
zlib 1.3.1 -9,3.25,459.24,8305920,1429623,17.21,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/2
zstd 1.5.7 -1,583.83,1367.85,8305920,1354308,16.31,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/3
zstd 1.5.7 -3,378.74,1315.92,8305920,1407594,16.95,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/3
zstd 1.5.7 -5,245.95,1352.96,8305920,1379765,16.61,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/3
zstd 1.5.7 -7,111.33,1340.59,8305920,1346841,16.22,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/3
zstd 1.5.7 -9,80.20,1350.42,8305920,1251425,15.07,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/3
zstd 1.5.7 -11,39.47,1388.51,8305920,1266746,15.25,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/3
zstd 1.5.7 -13,23.02,1599.08,8305920,1264099,15.22,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/3
zstd 1.5.7 -15,12.81,2272.10,8305920,1233843,14.85,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/3
zstd 1.5.7 -16,9.23,1758.82,8305920,1284813,15.47,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/3
zstd 1.5.7 -19,5.91,1450.31,8305920,1126188,13.56,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/3
xz 5.8.1 -1,37.92,202.87,8305920,1113620,13.41,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/3
xz 5.8.1 -3,19.08,211.37,8305920,1115160,13.43,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/3
xz 5.8.1 -5,4.93,229.20,8305920,960544,11.56,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/3
xz 5.8.1 -7,4.67,229.15,8305920,959760,11.56,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/3
xz 5.8.1 -9,4.64,204.81,8305920,959760,11.56,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/3
zlib 1.3.1 -1,164.83,609.49,8305920,1515041,18.24,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/3
zlib 1.3.1 -3,118.31,673.55,8305920,1489237,17.93,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/3
zlib 1.3.1 -5,71.36,452.88,8305920,1441455,17.35,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/3
zlib 1.3.1 -7,26.17,463.44,8305920,1432679,17.25,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/3
zlib 1.3.1 -9,3.26,459.61,8305920,1430850,17.23,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/3
zstd 1.5.7 -1,578.54,1367.34,8305920,1352394,16.28,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/4
zstd 1.5.7 -3,378.36,1300.34,8305920,1410355,16.98,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/4
zstd 1.5.7 -5,245.51,1350.55,8305920,1381802,16.64,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/4
zstd 1.5.7 -7,111.53,1350.59,8305920,1348182,16.23,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/4
zstd 1.5.7 -9,80.02,1350.12,8305920,1254914,15.11,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/4
zstd 1.5.7 -11,39.16,1388.32,8305920,1269665,15.29,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/4
zstd 1.5.7 -13,22.60,1585.78,8305920,1266730,15.25,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/4
zstd 1.5.7 -15,12.88,2258.56,8305920,1237244,14.90,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/4
zstd 1.5.7 -16,9.42,1704.16,8305920,1277193,15.38,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/4
zstd 1.5.7 -19,5.71,1427.01,8305920,1129248,13.60,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/4
xz 5.8.1 -1,37.87,202.70,8305920,1115648,13.43,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/4
xz 5.8.1 -3,19.21,212.26,8305920,1115660,13.43,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/4
xz 5.8.1 -5,4.89,231.09,8305920,962660,11.59,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/4
xz 5.8.1 -7,4.65,231.59,8305920,960708,11.57,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/4
