Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
zstd 1.5.7 -3,286.80,1089.05,288077669,64069999,22.24,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/28
zstd 1.5.7 -5,139.72,1062.03,288077669,62682084,21.76,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/28
zstd 1.5.7 -7,75.50,1278.48,288077669,57622362,20.00,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/28
zstd 1.5.7 -9,54.94,1330.22,288077669,56350375,19.56,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/28
zstd 1.5.7 -11,25.66,1430.55,288077669,53460705,18.56,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/28
zstd 1.5.7 -13,10.72,1441.96,288077669,52490278,18.22,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/28
zstd 1.5.7 -15,4.14,1556.93,288077669,49598676,17.22,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/28
zstd 1.5.7 -16,3.78,1567.33,288077669,48065763,16.69,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/28
zstd 1.5.7 -19,1.67,1557.26,288077669,45007408,15.62,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/28
xz 5.8.1 -1,26.08,140.95,288077669,60437208,20.98,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/28
xz 5.8.1 -3,10.40,170.20,288077669,56663284,19.67,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/28
xz 5.8.1 -5,2.87,196.08,288077669,46668156,16.20,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/28
xz 5.8.1 -7,2.05,199.49,288077669,44176964,15.34,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/28
xz 5.8.1 -9,1.67,171.52,288077669,43234028,15.01,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/28
zlib 1.3.1 -1,111.93,381.48,288077669,83723785,29.06,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/28
zlib 1.3.1 -3,57.63,452.26,288077669,73917620,25.66,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/28
zlib 1.3.1 -5,33.76,419.26,288077669,66713037,23.16,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/28
zlib 1.3.1 -7,11.64,459.19,288077669,61993066,21.52,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/28
zlib 1.3.1 -9,5.05,477.05,288077669,60181969,20.89,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/28
zstd 1.5.7 -1,392.91,1212.50,61948163,13874514,22.40,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/29
zstd 1.5.7 -3,288.24,1093.76,61948163,13906888,22.45,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/29
zstd 1.5.7 -5,140.49,1075.92,61948163,13550673,21.87,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/29
zstd 1.5.7 -7,75.68,1291.62,61948163,12500197,20.18,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/29
zstd 1.5.7 -9,55.15,1336.43,61948163,12229158,19.74,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/29
zstd 1.5.7 -11,25.53,1439.62,61948163,11596547,18.72,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/29
zstd 1.5.7 -13,10.87,1449.72,61948163,11404369,18.41,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/29
zstd 1.5.7 -15,4.72,1587.32,61948163,10807289,17.45,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/29
zstd 1.5.7 -16,4.62,1595.71,61948163,10470295,16.90,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/29
zstd 1.5.7 -19,1.83,1594.60,61948163,9851837,15.90,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/29
xz 5.8.1 -1,25.73,140.99,61948163,13111096,21.16,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/29
xz 5.8.1 -3,9.78,166.64,61948163,12292624,19.84,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/29
xz 5.8.1 -5,2.90,191.59,61948163,10225248,16.51,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/29
xz 5.8.1 -7,1.95,184.78,61948163,9702992,15.66,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/29
xz 5.8.1 -9,1.63,164.43,61948163,9586248,15.47,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/29
