Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
zlib 1.3.1 -5,76.22,599.63,8305920,1214062,14.62,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/3
zlib 1.3.1 -7,34.45,621.94,8305920,1172521,14.12,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/3
zlib 1.3.1 -9,4.17,662.13,8305920,1144465,13.78,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/3
zstd 1.5.7 -1,517.97,1081.34,8305920,1318297,15.87,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/4
zstd 1.5.7 -3,449.66,1077.81,8305920,1320982,15.90,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/4
zstd 1.5.7 -5,203.16,1089.48,8305920,1274177,15.34,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/4
zstd 1.5.7 -7,99.39,1290.69,8305920,1204199,14.50,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/4
zstd 1.5.7 -9,75.20,1266.51,8305920,1173778,14.13,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/4
zstd 1.5.7 -11,34.96,1550.56,8305920,1112260,13.39,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/4
zstd 1.5.7 -13,21.97,1908.69,8305920,1051774,12.66,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/4
zstd 1.5.7 -15,10.30,2485.54,8305920,973438,11.72,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/4
zstd 1.5.7 -16,7.19,2298.51,8305920,961813,11.58,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/4
zstd 1.5.7 -19,3.54,2312.16,8305920,928443,11.18,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/4
xz 5.8.1 -1,42.52,210.98,8305920,964368,11.61,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/4
xz 5.8.1 -3,18.94,247.31,8305920,926192,11.15,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/4
xz 5.8.1 -5,4.39,300.54,8305920,810300,9.76,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/4
xz 5.8.1 -7,3.36,312.71,8305920,784436,9.44,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/4
xz 5.8.1 -9,3.34,269.26,8305920,784436,9.44,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/4
zlib 1.3.1 -1,180.86,653.30,8305920,1455870,17.53,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/4
zlib 1.3.1 -3,111.23,766.99,8305920,1308181,15.75,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/4
zlib 1.3.1 -5,75.55,615.59,8305920,1224616,14.74,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/4
