Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
zstd 1.5.7 -3,258.69,961.02,55424395,18211458,32.86,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/9
zstd 1.5.7 -5,138.00,975.38,55424395,18030238,32.53,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/9
zstd 1.5.7 -7,94.24,1026.33,55424395,17799533,32.11,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/9
zstd 1.5.7 -9,69.52,984.91,55424395,17113658,30.88,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/9
zstd 1.5.7 -11,35.59,997.20,55424395,17056544,30.77,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/9
zstd 1.5.7 -13,19.64,998.68,55424395,17035785,30.74,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/9
zstd 1.5.7 -15,13.70,1008.86,55424395,16956986,30.59,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/9
zstd 1.5.7 -16,7.88,954.13,55424395,17211211,31.05,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/9
zstd 1.5.7 -19,3.64,1011.79,55424395,14122269,25.48,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/9
xz 5.8.1 -1,22.13,102.84,55424395,15738468,28.40,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/9
xz 5.8.1 -3,12.59,108.54,55424395,15367296,27.73,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/9
xz 5.8.1 -5,4.74,129.93,55424395,12236256,22.08,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/9
xz 5.8.1 -7,3.60,142.60,55424395,10941888,19.74,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/9
xz 5.8.1 -9,3.33,133.66,55424395,10486996,18.92,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/9
zlib 1.3.1 -1,93.37,356.83,55424395,20491221,36.97,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/9
zlib 1.3.1 -3,67.09,374.30,55424395,20058533,36.19,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/9
zlib 1.3.1 -5,50.40,371.55,55424395,19210164,34.66,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/9
zlib 1.3.1 -7,22.76,379.93,55424395,19086034,34.44,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/9
zlib 1.3.1 -9,3.46,385.61,55424395,18991350,34.27,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/9
zstd 1.5.7 -1,516.70,1046.65,87520526,61919757,70.75,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/10
zstd 1.5.7 -3,197.76,862.82,87520526,56282952,64.31,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/10
zstd 1.5.7 -5,109.93,882.06,87520526,55473708,63.38,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/10
zstd 1.5.7 -7,85.70,882.91,87520526,55288997,63.17,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/10
zstd 1.5.7 -9,64.94,870.98,87520526,54371725,62.12,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/10
zstd 1.5.7 -11,29.40,832.90,87520526,53572657,61.21,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/10
zstd 1.5.7 -13,12.02,834.90,87520526,53498357,61.13,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/10
zstd 1.5.7 -15,9.96,838.33,87520526,53326431,60.93,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/10
zstd 1.5.7 -16,6.77,773.33,87520526,52596579,60.10,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/10
