Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
xz 5.8.1 -7,5.23,313.27,488931436,46595672,9.53,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/2
xz 5.8.1 -9,5.02,307.00,488931436,46569084,9.52,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/2
zlib 1.3.1 -1,189.70,680.27,488931436,80857492,16.54,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/2
zlib 1.3.1 -3,122.79,777.62,488931436,74643822,15.27,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/2
zlib 1.3.1 -5,80.94,663.34,488931436,70372380,14.39,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/2
zlib 1.3.1 -7,25.14,756.10,488931436,65889008,13.48,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/2
zlib 1.3.1 -9,4.20,802.01,488931436,63097420,12.91,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/2
zstd 1.5.7 -1,591.38,1435.70,567195185,87033381,15.34,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/3
zstd 1.5.7 -3,467.92,1389.84,567195185,78689829,13.87,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/3
zstd 1.5.7 -5,215.44,1428.76,567195185,79101625,13.95,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/3
zstd 1.5.7 -7,115.39,1624.84,567195185,77692936,13.70,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/3
zstd 1.5.7 -9,87.23,1772.30,567195185,75988851,13.40,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/3
zstd 1.5.7 -11,41.17,1962.37,567195185,73412698,12.94,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/3
zstd 1.5.7 -13,22.29,1988.74,567195185,72677665,12.81,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/3
zstd 1.5.7 -15,10.92,2194.76,567195185,69262254,12.21,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/3
zstd 1.5.7 -16,8.84,2390.19,567195185,65751942,11.59,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/3
zstd 1.5.7 -19,3.71,2348.32,567195185,63543185,11.20,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/3
